[01:16:55] Date         ABQ 00       ABQ 12       EPZ 00       EPZ 12       RH           diag.py:169
[01:20:53] 9/18/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:59] 9/19/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:05] 9/20/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:10] 9/21/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:15] 9/22/2019    Success      NaN          Success      Success      Success      diag.py:148 
[01:21:20] 9/23/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:24] 9/24/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:29] 9/25/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:34] 9/26/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:38] 9/27/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:42] 9/28/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:47] 9/29/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:52] 9/30/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:21:57] 10/1/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:02] 10/2/2019    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 29 != 36.0                                                                diag.py:146 
[01:22:06] 10/3/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:11] 10/4/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:16] 10/5/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:20] 10/6/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:25] 10/7/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:30] 10/8/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:35] 10/9/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:22:39] 10/10/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:22:44] 10/11/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:22:49] 10/12/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:22:53] 10/13/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:22:58] 10/14/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:02] 10/15/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:07] 10/16/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 22 != 20.0                                                                diag.py:146 
[01:23:12] 10/17/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:16] 10/18/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:21] 10/19/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 12.0                                                                diag.py:146 
[01:23:26] 10/20/2019   Success      Success      NaN          Success      Success      diag.py:148 
[01:23:30] 10/21/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:35] 10/22/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:40] 10/23/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:45] 10/24/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:49] 10/25/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:23:54] 10/26/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:24:01] 10/27/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:24:07] 10/28/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:24:24] 10/29/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:24:55] 10/30/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:25:00] 10/31/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:25:04] 11/1/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:09] 11/2/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:13] 11/3/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:19] 11/4/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:23] 11/5/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:28] 11/6/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:33] 11/7/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:38] 11/8/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:43] 11/9/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:25:47] 11/10/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:25:52] 11/11/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 33 != 27.0                                                                diag.py:146 
[01:25:56] 11/12/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 41 != 40.0                                                                diag.py:146 
[01:26:01] 11/13/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:06] 11/14/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:11] 11/15/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:15] 11/16/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:20] 11/17/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:24] 11/18/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:29] 11/19/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:34] 11/20/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:39] 11/21/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:43] 11/22/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:48] 11/23/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:26:54] 11/24/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 60 != 67.0                                                                diag.py:146 
[01:26:58] 11/25/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 71 != 66.0                                                                diag.py:146 
[01:27:03] 11/26/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:27:08] 11/27/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:27:13] 11/28/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:27:18] 11/29/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:27:23] 11/30/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:27:29] 12/1/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:27:35] 12/2/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:27:41] 12/3/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:27:47] 12/4/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:27:53] 12/5/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:27:59] 12/6/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:28:03] 12/7/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:28:09] 12/8/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:28:14] 12/9/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:28:20] 12/10/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:28:27] 12/11/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:28:38] 12/12/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:28:49] 12/13/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:28:59] 12/14/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:29:10] 12/15/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:29:21] 12/16/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:29:33] 12/17/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:29:44] 12/18/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:29:56] 12/19/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:30:07] 12/20/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:30:18] 12/21/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:30:29] 12/22/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:30:40] 12/23/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:30:51] 12/24/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:31:03] 12/25/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:31:14] 12/26/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:31:25] 12/27/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:31:36] 12/28/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 48 != 47.0                                                                diag.py:146 
[01:31:47] 12/29/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:31:58] 12/30/2019   Success      Success      Success      Success      Success      diag.py:148 
[01:32:11] 12/31/2019   Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 30 != 29.0                                                                diag.py:146 
[01:32:23] 1/1/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:32:57] 1/2/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:33:19] 1/3/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:33:32] 1/4/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:33:43] 1/5/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 36 != 35.0                                                                diag.py:146 
[01:33:55] 1/6/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:34:06] 1/7/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:34:17] 1/8/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:34:29] 1/9/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:34:42] 1/10/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:34:54] 1/11/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:35:05] 1/12/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:35:16] 1/13/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:35:27] 1/14/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:35:38] 1/15/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:35:49] 1/16/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:36:01] 1/17/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:36:13] 1/18/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:36:23] 1/19/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:36:34] 1/20/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 26 != 35.0                                                                diag.py:146 
[01:36:46] 1/21/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 13 != 89.0                                                                diag.py:146 
[01:36:57] 1/22/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 40 != 35.0                                                                diag.py:146 
[01:37:08] 1/23/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 22 != 32.0                                                                diag.py:146 
[01:37:20] 1/24/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 28 != 43.0                                                                diag.py:146 
[01:37:31] 1/25/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 20 != 30.0                                                                diag.py:146 
[01:37:43] 1/26/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:37:55] 1/27/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:38:06] 1/28/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:38:18] 1/29/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:38:29] 1/30/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:38:42] 1/31/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:38:53] 2/1/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:39:04] 2/2/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:39:15] 2/3/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:39:26] 2/4/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:39:38] 2/5/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:39:50] 2/6/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:40:01] 2/7/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:40:13] 2/8/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:40:24] 2/9/2020     Success      Success      Success      Success      Success      diag.py:148 
[01:40:36] 2/10/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 72 != 71.0                                                                diag.py:146 
[01:40:49] 2/11/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:41:07] 2/12/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 70 != 69.0                                                                diag.py:146 
[01:41:21] 2/13/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 45 != 59.0                                                                diag.py:146 
[01:41:51] 2/14/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 57 != 77.0                                                                diag.py:146 
[01:42:04] 2/15/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 21 != 24.0                                                                diag.py:146 
[01:42:15] 2/16/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 57 != 45.0                                                                diag.py:146 
[01:42:26] 2/17/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 21 != 22.0                                                                diag.py:146 
[01:42:38] 2/18/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 23 != 37.0                                                                diag.py:146 
[01:42:49] 2/19/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 25 != 36.0                                                                diag.py:146 
[01:43:01] 2/20/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 51 != 44.0                                                                diag.py:146 
[01:43:13] 2/21/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 80 != 48.0                                                                diag.py:146 
[01:43:25] 2/22/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 27 != 82.0                                                                diag.py:146 
[01:43:36] 2/23/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 28 != 31.0                                                                diag.py:146 
[01:43:48] 2/24/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 15 != 32.0                                                                diag.py:146 
[01:43:59] 2/25/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 39 != 15.0                                                                diag.py:146 
[01:44:10] 2/26/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 14 != 19.0                                                                diag.py:146 
[01:44:21] 2/27/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 18 != 22.0                                                                diag.py:146 
[01:44:33] 2/28/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 15.0                                                                diag.py:146 
[01:44:48] 2/29/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 25 != 19.0                                                                diag.py:146 
[01:44:59] 3/1/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 41 != 32.0                                                                diag.py:146 
[01:45:10] 3/2/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 17 != 20.0                                                                diag.py:146 
[01:45:22] 3/3/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 16 != 18.0                                                                diag.py:146 
[01:45:34] 3/4/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 40 != 21.0                                                                diag.py:146 
[01:45:49] 3/5/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 22 != 26.0                                                                diag.py:146 
[01:46:00] 3/6/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 41 != 27.0                                                                diag.py:146 
[01:46:12] 3/7/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 60 != 24.0                                                                diag.py:146 
[01:46:24] 3/8/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 50 != 60.0                                                                diag.py:146 
[01:46:35] 3/9/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 29 != 30.0                                                                diag.py:146 
[01:46:46] 3/10/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 49 != 30.0                                                                diag.py:146 
[01:46:58] 3/11/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 42 != 44.0                                                                diag.py:146 
[01:47:09] 3/12/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 47 != 44.0                                                                diag.py:146 
[01:47:20] 3/13/2020    NaN          Success      Success      Success      Fail         diag.py:145 
[2K           RH: 22 != 40.0                                                                diag.py:146 
[01:47:32] 3/14/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 34 != 28.0                                                                diag.py:146 
[01:47:43] 3/15/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 22.0                                                                 diag.py:146 
[01:47:54] 3/16/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 24 != 27.0                                                                diag.py:146 
[01:48:07] 3/17/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 64 != 20.0                                                                diag.py:146 
[01:48:20] 3/18/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 25 != 60.0                                                                diag.py:146 
[01:48:31] 3/19/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 25 != 22.0                                                                diag.py:146 
[01:48:43] 3/20/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 29 != 30.0                                                                diag.py:146 
[01:48:54] 3/21/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 28 != 49.0                                                                diag.py:146 
[01:49:06] 3/22/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 8 != 13.0                                                                 diag.py:146 
[01:49:17] 3/23/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 18 != 8.0                                                                 diag.py:146 
[01:49:28] 3/24/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K[01:49:29] RH: 23 != 32.0                                                                diag.py:146 
[01:49:39] 3/25/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K[01:49:40] RH: 18 != 10.0                                                                diag.py:146 
[01:49:52] 3/26/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 18.0                                                                diag.py:146 
[01:50:06] 3/27/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 12 != 11.0                                                                diag.py:146 
[01:50:18] 3/28/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 12 != 11.0                                                                diag.py:146 
[01:50:49] 3/29/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 18 != 19.0                                                                diag.py:146 
[01:51:02] 3/30/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:51:14] 3/31/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:51:25] 4/1/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 8 != 10.0                                                                 diag.py:146 
[01:51:36] 4/2/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 12 != 8.0                                                                 diag.py:146 
[01:51:48] 4/3/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 30 != 20.0                                                                diag.py:146 
[01:51:58] 4/4/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 13.0                                                                diag.py:146 
[01:52:09] 4/5/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 22 != 19.0                                                                diag.py:146 
[01:52:20] 4/6/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 15 != 22.0                                                                diag.py:146 
[01:52:31] 4/7/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 14 != 12.0                                                                diag.py:146 
[01:52:43] 4/8/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 30 != 20.0                                                                diag.py:146 
[01:52:53] 4/9/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 19 != 22.0                                                                diag.py:146 
[01:53:04] 4/10/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 8.0                                                                 diag.py:146 
[01:53:15] 4/11/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 17 != 10.0                                                                diag.py:146 
[01:53:32] 4/12/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 87 != 17.0                                                                diag.py:146 
[01:53:45] 4/13/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 10 != 85.0                                                                diag.py:146 
[01:53:56] 4/14/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 17 != 29.0                                                                diag.py:146 
[01:54:07] 4/15/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 10.0                                                                 diag.py:146 
[01:54:18] 4/16/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:54:29] 4/17/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:54:40] 4/18/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 24 != 13.0                                                                diag.py:146 
[01:54:51] 4/19/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 15.0                                                                diag.py:146 
[01:55:06] 4/20/2020    Success      Success      Success      Success      Success      diag.py:148 
[01:56:29] 4/21/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 9.0                                                                 diag.py:146 
[01:56:40] 4/22/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K[01:56:41] RH: 11 != 12.0                                                                diag.py:146 
[01:56:52] 4/23/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 8 != 11.0                                                                 diag.py:146 
[01:57:03] 4/24/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 10.0                                                                diag.py:146 
[01:57:14] 4/25/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 10 != 12.0                                                                diag.py:146 
[01:57:25] 4/26/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 10.0                                                                diag.py:146 
[01:57:36] 4/27/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 11.0                                                                 diag.py:146 
[01:57:47] 4/28/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 27 != 11.0                                                                diag.py:146 
[01:57:58] 4/29/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 18 != 26.0                                                                diag.py:146 
[01:58:12] 4/30/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 14 != 18.0                                                                diag.py:146 
[01:58:23] 5/1/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 4.0                                                                  diag.py:146 
[01:58:36] 5/2/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 15 != 13.0                                                                diag.py:146 
[01:58:47] 5/3/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 10 != 14.0                                                                diag.py:146 
[01:58:58] 5/4/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 25 != 10.0                                                                diag.py:146 
[01:59:10] 5/5/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 10 != 15.0                                                                diag.py:146 
[01:59:21] 5/6/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 7 != 19.0                                                                 diag.py:146 
[01:59:32] 5/7/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 12 != 4.0                                                                 diag.py:146 
[01:59:43] 5/8/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 12.0                                                                 diag.py:146 
[01:59:54] 5/9/2020     Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 17 != 9.0                                                                 diag.py:146 
[02:00:04] 5/10/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 28 != 25.0                                                                diag.py:146 
[02:00:15] 5/11/2020    Success      Success      NaN          Success      Fail         diag.py:145 
[2K           RH: 12 != 41.0                                                                diag.py:146 
[02:00:26] 5/12/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 16 != 19.0                                                                diag.py:146 
[02:00:40] 5/13/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 14 != 12.0                                                                diag.py:146 
[02:00:59] 5/14/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 9 != 10.0                                                                 diag.py:146 
[02:01:10] 5/15/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 13 != 12.0                                                                diag.py:146 
[02:01:24] 5/16/2020    Success      Success      Success      Success      Fail         diag.py:145 
[2K           RH: 11 != 10.0                                                                diag.py:146 
[02:01:37] 5/17/2020    Fail         Success      Success      Success      Fail         diag.py:145 
[2K           ABQ 00: 14.32 != ['6.15' '4.86' '2.95' '3.16' '4.56' '5.73' '4.08' '4.94' '2. diag.py:146 
            '8.65' '11.46' '9.36' '10.96' '4.35' '3.46' '1.35' '2.34' '8.28' '4.48'                  
            '4.23' '1.74' '6.57' '20.16' '6.66' '4.26' '4.14' '4.62' '3.83' '3.63'                   
